id,name,image,preview,duration,explicit,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,chord,published
5Ih40KFkj3cSzxgisQxBvX,For What It's Worth,https://i.scdn.co/image/ab67616d0000b273d1e28a5de3822046bc27d8ae,https://p.scdn.co/mp3-preview/344cb9fd20e0d9544cc530ddf0da2db9cfe47f08?cid=9950ac751e34487dbbe027c4fd7f8e99,251631,0,59,0.489,0.835,-4.448,0.0332,0.00746,0,0.146,0.444,145.885,0,2017-10-06
161DnLWsx1i3u1JT05lzqU,Talking to the Moon,https://i.scdn.co/image/ab67616d0000b273f6b55ca93bd33211227b502b,https://p.scdn.co/mp3-preview/6feba1b412530ab0d9dd1f849180f039831acc42?cid=9950ac751e34487dbbe027c4fd7f8e99,217866,0,85,0.498,0.59,-4.721,0.032,0.511,0,0.107,0.0784,145.867,1,2010-10-05
7L7DgjhqnYYuIfgyhKTcxs,Lies,https://i.scdn.co/image/ab67616d0000b27382fc75133ddad4b231f53ea6,,167026,0,12,0.493,0.83,-7.104,0.0316,0.449,0,0.253,0.915,145.843,4,1997
5xkNd7kCRmjT2DxSAYVVyC,And We Danced,https://i.scdn.co/image/ab67616d0000b2739280b5fea3cde8e6caeaef00,https://p.scdn.co/mp3-preview/12f138c4f1fec405b6f386a48b419d2c4d6bba81?cid=9950ac751e34487dbbe027c4fd7f8e99,227760,0,62,0.561,0.945,-6.086,0.0444,0.0869,0,0.22,0.723,145.781,9,1985
2Z8yfpFX0ZMavHkcIeHiO1,Monster (Shawn Mendes & Justin Bieber),https://i.scdn.co/image/ab67616d0000b27312e57573cbc551c187a96107,https://p.scdn.co/mp3-preview/1d88b53ff29099f2f07ab014074921a6ae2598d6?cid=9950ac751e34487dbbe027c4fd7f8e99,178994,0,73,0.652,0.383,-7.076,0.0516,0.0676,0,0.0828,0.549,145.765,2,2020-11-20
0ScvNAru6QoLl7SmnMC5ai,Ain’t No Pleasing You,https://i.scdn.co/image/ab67616d0000b2736aebb5df4779aa95abfca539,https://p.scdn.co/mp3-preview/2f814450811bac2ca60137d65a9179e7a4a0caa4?cid=9950ac751e34487dbbe027c4fd7f8e99,253706,0,33,0.481,0.804,-9.928,0.0438,0.00309,0.000885,0.0717,0.841,145.754,10,2001-01-01
4zK1pYVKMB13es6Bim0muF,Run To Me,https://i.scdn.co/image/ab67616d0000b2737950ef51745c8cbdfc7696a3,https://p.scdn.co/mp3-preview/dbd50e68097660f52a99258814ab9696054c7104?cid=9950ac751e34487dbbe027c4fd7f8e99,191600,0,60,0.399,0.322,-14.021,0.037,0.474,0.0000148,0.335,0.33,145.743,9,1972-01-01
1pHP4JeQV9wDx87D6qH9hD,Here It Goes Again,https://i.scdn.co/image/ab67616d0000b27371e01645abce04dda00e1c0c,https://p.scdn.co/mp3-preview/fd0089d7569720548da693681b77cc73a2c07185?cid=9950ac751e34487dbbe027c4fd7f8e99,179813,0,69,0.537,0.882,-2.306,0.0403,0.000342,0.0000906,0.12,0.81,145.729,0,2005-01-01
3lN8PP6R2IxbLP05QpYXng,Born To Be Wild - Single Version,https://i.scdn.co/image/ab67616d0000b273e2aacda30b100cc33d523be0,https://p.scdn.co/mp3-preview/6c1f5377ae30c65577835dce021c23bcf198591f?cid=9950ac751e34487dbbe027c4fd7f8e99,212893,0,72,0.439,0.734,-12.168,0.097,0.262,0.333,0.244,0.54,145.703,2,1968-01-01
3L9Zhb5aHwj4f5A0BwLPTI,Cruel - Remastered,https://i.scdn.co/image/ab67616d0000b273c26c16c6b599a919c482d01d,https://p.scdn.co/mp3-preview/96cc0b54b616b959ee1f5fca9d3ac61c172f27d3?cid=9950ac751e34487dbbe027c4fd7f8e99,317426,0,12,0.527,0.566,-4.623,0.0272,0.0516,0,0.0711,0.13,145.646,2,2001-10-30
50fsqNY8pUd9iMIU3UYG2g,Shine Ya Light,https://i.scdn.co/image/ab67616d0000b27347ef1a5b2207edf038cbdf74,https://p.scdn.co/mp3-preview/83bc7586ab892d76b360325b24e285ffe739c56e?cid=9950ac751e34487dbbe027c4fd7f8e99,210840,0,12,0.48,0.835,-2.121,0.042,0.017,0,0.372,0.565,145.546,4,2012-09-07
3xjLAPMsYy32W9oFHsSsGl,Have You Ever Really Loved A Woman?,https://i.scdn.co/image/ab67616d0000b27394b19dec4db60c5809bc23c6,,291666,0,0,0.569,0.472,-10.138,0.0313,0.536,0.0000144,0.1,0.346,145.513,7,1996-06-04
1qYJo3iMxuxeP0YOcCp7XF,Right Back Where We Started From,https://i.scdn.co/image/ab67616d0000b273e30c91dd94e176b4bcf55260,https://p.scdn.co/mp3-preview/61dc8cbef8a95226b86bd3d1b62405e7bad5bb8a?cid=9950ac751e34487dbbe027c4fd7f8e99,195226,0,13,0.714,0.922,-4.943,0.0314,0.13,0.000012,0.167,0.908,145.506,4,2009-11-30
6FBmHx1FuaSnTnnnaThgbF,Cum on Feel the Noize,https://i.scdn.co/image/ab67616d0000b273ec756ca9c2c7e3c438a06aba,https://p.scdn.co/mp3-preview/c404d9c3c98662463896e925b62607b1192bb85a?cid=9950ac751e34487dbbe027c4fd7f8e99,287400,0,67,0.441,0.908,-4.627,0.115,0.000183,0.00328,0.0612,0.632,145.439,11,1996
5xZjfKSfTooDP2rcAgjxlH,Carry On,https://i.scdn.co/image/ab67616d0000b273a036e1724bc7f2bab15cfda8,https://p.scdn.co/mp3-preview/3b28f19c04a17dfb67d76a48d7471a1162f4ad80?cid=9950ac751e34487dbbe027c4fd7f8e99,278373,0,59,0.388,0.694,-5.769,0.0735,0.118,0.000293,0.082,0.365,145.434,5,2012-02-14
2Rwux3fRY1xxl167muIo93,I Ran (So Far Away) - Single Edit,https://i.scdn.co/image/ab67616d0000b27367f94edad740366b0523ffee,,219906,0,12,0.537,0.815,-6.208,0.0348,0.000418,0.807,0.194,0.691,145.424,2,2002-11-26
